run_id;upper_workpiece_id;class_value;file_name;dmc_code;date;time;workpiece_usage;workpiece_result;workpiece_location;scenario_condition;scenario_exception
1624346;17401;001_control-group;Ch_000001624346.json;40000000017401;06.09.2024;18:19:04;0;OK;left;normal;0
1624347;17401;001_control-group;Ch_000001624347.json;40000000017401;06.09.2024;18:19:09;0;OK;right;normal;0
1624348;17402;001_control-group;Ch_000001624348.json;40000000017402;06.09.2024;18:19:35;0;OK;left;normal;0
1624349;17402;001_control-group;Ch_000001624349.json;40000000017402;06.09.2024;18:19:41;0;OK;right;normal;0
1624350;17403;001_control-group;Ch_000001624350.json;40000000017403;06.09.2024;18:20:07;0;OK;left;normal;0
1624351;17403;001_control-group;Ch_000001624351.json;40000000017403;06.09.2024;18:20:12;0;OK;right;normal;0
1624352;17404;001_control-group;Ch_000001624352.json;40000000017404;06.09.2024;18:20:38;0;OK;left;faulty;0
1624353;17404;001_control-group;Ch_000001624353.json;40000000017404;06.09.2024;18:20:43;0;OK;right;faulty;0
1624354;17405;001_control-group;Ch_000001624354.json;40000000017405;06.09.2024;18:21:09;0;OK;left;normal;0
1624355;17405;001_control-group;Ch_000001624355.json;40000000017405;06.09.2024;18:21:15;0;OK;right;normal;0
1624356;17407;001_control-group;Ch_000001624356.json;40000000017407;06.09.2024;18:21:48;0;OK;left;faulty;0
1624357;17407;001_control-group;Ch_000001624357.json;40000000017407;06.09.2024;18:21:54;0;OK;right;faulty;0
1624358;17406;001_control-group;Ch_000001624358.json;40000000017406;06.09.2024;18:22:19;0;OK;left;normal;0
1624359;17406;001_control-group;Ch_000001624359.json;40000000017406;06.09.2024;18:22:25;0;OK;right;normal;0
1624360;17408;001_control-group;Ch_000001624360.json;40000000017408;06.09.2024;18:22:51;0;OK;left;faulty;0
1624361;17408;001_control-group;Ch_000001624361.json;40000000017408;06.09.2024;18:22:56;0;OK;right;faulty;0
1624362;17409;001_control-group;Ch_000001624362.json;40000000017409;06.09.2024;18:23:22;0;OK;left;faulty;0
1624363;17409;001_control-group;Ch_000001624363.json;40000000017409;06.09.2024;18:23:27;0;OK;right;faulty;0
1624364;17410;001_control-group;Ch_000001624364.json;40000000017410;06.09.2024;18:23:53;0;OK;left;faulty;0
1624365;17410;001_control-group;Ch_000001624365.json;40000000017410;06.09.2024;18:23:59;0;OK;right;faulty;0
